event_id,location_id
777,28
1865,28
2047,28
1395,210
740,303
2853,303
1260,98
1834,98
1836,98
2109,98
3011,98
3206,98
3288,98
3331,98
3588,98
3639,98
3640,98
3672,98
3715,98
3138,475
3171,475
3227,475
1783,179
730,371
3149,111
3099,547
3126,547
3157,547
3324,547
3600,547
2352,112
2432,417
2307,113
2309,113
2338,113
2599,113
3474,113
3599,113
2520,270
2843,270
3457,270
2068,212
2070,212
2072,212
2488,418
2853,180
2615,531
1731,593
2088,593
2379,271
2380,271
2853,644
3262,644
3449,419
698,16
2592,213
2729,213
2934,213
3412,548
3012,272
2853,182
3209,182
461,159
491,159
565,159
652,159
701,159
2897,476
470,149
2438,420
3004,273
3010,273
466,306
532,306
655,306
793,306
831,306
1000,306
1704,306
1943,306
1954,306
2000,306
2218,306
2487,306
2492,306
3011,306
3290,306
3291,306
3333,306
3344,306
3426,306
3427,306
3449,306
3647,306
2862,549
3340,549
3383,549
3509,549
2839,183
819,46
2889,46
3049,46
3563,46
3597,46
2723,650
1474,29
1477,29
1515,29
1539,29
1601,29
1613,29
1671,29
1722,29
2047,29
2890,274
3012,274
1929,275
2379,275
2380,275
3141,524
3166,524
3438,508
2281,648
2363,648
2687,566
2839,184
2448,214
2961,477
2501,114
2509,114
2473,215
1905,216
2241,99
680,307
2367,217
2596,217
702,342
2662,478
2670,478
2677,478
2865,478
2866,478
3009,478
3061,478
3097,478
3098,478
3139,478
3178,478
3275,478
3591,478
3664,478
3680,478
3681,478
891,322
3596,115
2895,479
2853,185
3209,185
2077,509
3208,656
3512,218
2835,219
3001,219
3394,653
3437,653
937,21
1098,21
1102,21
1124,21
2653,21
2863,21
336,340
337,340
338,340
1750,3
3445,3
3521,3
1539,376
1580,376
1601,376
1613,376
2047,376
2716,376
3224,376
3678,376
2091,409
2938,186
3223,186
3339,186
2735,567
1633,13
947,345
2036,649
3026,421
3564,116
1493,410
2951,505
3605,505
2960,422
376,2
1758,2
1822,2
3392,2
3405,2
3410,2
1682,4
3327,62
3691,62
3696,62
3700,62
972,337
2919,510
3007,510
3094,510
3107,510
3108,510
1356,30
1408,30
1474,30
1477,30
1484,30
1539,30
1601,30
1613,30
1666,30
1722,30
1865,30
1963,30
2047,30
2704,30
2880,30
2947,30
