id,add_date,event_duration,event_quote,event_quote_location,event_source_info,event_time_description,firstname,start_day,start_month,start_year,summary,surname
4030,2023-06-12 15:19:34.880589,0,"De lo q. hecho en el parrafo ant.or con Relac.n â un docum.to tan Respetable qual es dho. estracto impreso, resulta lo primero q. es el Redificio q. se hizo de la Presa en 1630 23,500 p.s mucho mayor cantidad importò el edificion nuebo Lo segundo q. en el año ant.or pudo Romper à este considerablem.te el impetù de las Aguas q. bienen de Otumba y teotihuacàn, a pesar de averlo hecho con la solidez q. convinia para evitar los estragos q. se esperimentaron en la otra inundac.n ant.or de  1553, y lo tercero q. à los 747 a.os esto es: en el de 1747, aun fue nesesario gastar 5 mill p.s para componer aquellas roturas por q.e no se hallò otro arbitrio q. mantener la Presa para q. las Aguas no entrasen à la Lag.a de Tescuco; pues el unico q.e se propuso despues es mucho medita se allò inpracticable.",4v,"Archivo Histórico de San Juan Teotihuacan (AHSJT) Aguas, 1818",,Brad,0,0,1553,Flooding of pueblo/town of San Juan Teotihuacan,Skopyk
4180,2023-07-11 03:09:34.920988,1,No quotation,Page 35 of the microfilm,"Archivo General de Indias, Indiferente General, 1560 (1790)","Describes snow storm in Real de Catorce with several deaths. Date is imprecise — late 1790, early 1791",Amílcar,0,12,1790,Snow storm in Real de Catorce,Challú
3891,2023-06-04 06:37:27,,TLACECUALOC,tbd,"Townsend, Anales de Tlaxcala (unpublished ms): 6",,Bradley,,,1616,Frost,Skopyk
3879,2023-06-04 06:37:27,,HEHECATLI MOCHIUH YEHCATOTOC HANAHUACTLI; TONATIUH CUALOC; SOLAR ECLIPSE,tbd,"Townsend, Anales de Tlaxcala (unpublished ms): 5",,Bradley,,,1597,Wind,Skopyk
4031,2023-06-12 15:49:15.418532,60,"En efecto no la embarsa ni la puede embarasan esto es imposible; y lo es tambien q. con las presas obliga à las aguas à tomar otros conductos por donde se escapan Pruebase Vimos q. estando el documento a f.10. la Presa de Oculman se fabrico por lo menos el años de 1635 ultimo del En'no del exmo Sr Marques a Cerralvo y dixo estando por q del memorial impuso de los autos del Desague consta q. se rompio en la ultima inundac.n acueductas en 2º de sept.e de 1629: y q. en junta de 26 del sig.te dic.e se resolvio edificarla ___ costo  fue 23,5000 p.s y se conclyo la obra perfectam.te en Junio de 1630.] Refiereme al num.º 19 paf. 27. del extracto tambien impacto q.e hiso el lic. D.n __ Fran.co de Aquirre de los Autos formados {4v} en virtud del sup.or Decreto del Exmo sr. conde de Revilla de 17 de nov.e de 1747. sobre el reconosim.to de los Rios, lagunas, vertientes, y desagues de esta Ciudad para remediar los Daños q. se vieron por los  medios q. se arbitraron. Cuentase alli a la Paj. 26, q. reconosida la presa de oculman (llego tramo por la parte del Norte hera a 1450 v.s) se hallò en ella una natura de 100. y el lado de la compuerta la q. se hizo despues al proposito p.r desague del Rio de S. Juan, dandole por alli cause esplayado: q los Alarifes D. Mig.l Espinoza y Diichan'l  Alvares nombrados por S. Exia jusgaron nesesaria la presa e indispensable el redificion de lo desbaratado y el nuebo edificion de 100. v.s mas abaluando la obra en 500 p.s lo qual aprovaron los Regidores, el Procurador Grâl, el fr. Fiscal, y el Sor. tres Palacios superinten-te del Desague fundador (entre otras Razones) en q. hera evid.te q. las Aguas de Otumba y Teotihuacan sprê abian bajado y bajaban à la laguna de Tescuco, y en tanta abundancia q. le daba decresim.to una sexma lo que se jusgò en aquella junta grâl. de 26 de Diz.e de 1629 y no ser practicable el proyecto q. propuso el injeniero D. Felix Prosperi (de nivelar los terrenos p.r encaminase las Aguas à los Rios q. lleban sus corrientes asia la Puebla) por q.l la menos considerable abra es eminente cumbre Respecto del llano en q.e caen dhas corr.tes y q. segun la cuenta q.e formo el Regidor D. José Dabalos Restitugendose à su destino la Lag.a de Oculman (q.e era depositar esas mismas corr.tes) se le quitaba el Vaso de la de Tescuco el asombroso num.º de 83.3, 332 1/3 v.as cubicas de Agua. Y a la paj. 42 de dho Extracto impreso corre una copia fice y exacta del mapa q. en el año de mil seis cientos y tantos designio D. Carolos de ciguenza y Hongosa, Catedratico de matematicas en la R.l universidad, describiendo todas las Aguas q. por el sirculo de 90 leguas bajan à las lagunas de chalco, tescuco y Zumpango; y de la qual se ha sacado mal formada; pero muy exacta la copia de lo q.e conduce à este negocio y presento para hacerme entender con mayor facilidad, por no haverla, de q. V.E. vea por si mismo los rumbos de las Aguas.",4r-4v,"Archivo Histórico de San Juan Teotihuacan (AHSJT) Aguas, 1818",,Brad,0,0,1629,Construction of a dam to prevent further flooding as happened in 1629.,Skopyk
4181,2023-07-11 03:32:52.504985,18,"NOVENARIOS (selected)
12 March 1785: ""por el buen exito de los comicionados que salieron en solicitud de semillas"" 
30 July 1785: ""por el buen temporal y enfermedad""
12 December 1785: ""por la mucha enfermedad""
6 March 1786: to the Patron Saint ""por la enfermedad que habia en el lugar"" 
28 September 1786: to Our Lady of Loreto, ""Misa de Gracias por la Enfermedad que aun seguia y que continuasen las Aguas""
",267-416,"AGN (Mexico), Propios y Arbitrios, volume 21, expediente 3",Novenarios spread out during the dearth of 1785-86.,Amílcar,12,3,1785,"The records report expenses paid for prayers to different saints to alleviate scarce rains, scarcity or disease.",Challú
4182,2023-07-11 03:35:16.031682,18,"NOVENARIOS (selected)
12 March 1785: ""por el buen exito de los comicionados que salieron en solicitud de semillas"" 
30 July 1785: ""por el buen temporal y enfermedad""
12 December 1785: ""por la mucha enfermedad""
6 March 1786: to the Patron Saint ""por la enfermedad que habia en el lugar"" 
28 September 1786: to Our Lady of Loreto, ""Misa de Gracias por la Enfermedad que aun seguia y que continuasen las Aguas""
",267-416,"AGN (Mexico), Propios y Arbitrios, volume 21, expediente 3",Novenarios spread out during the dearth of 1785-86.,Amílcar,12,3,1785,"The records report expenses paid for prayers to different saints to alleviate scarce rains, scarcity or disease.",Challú
4183,2023-07-11 03:35:32.283451,18,"NOVENARIOS (selected)
12 March 1785: ""por el buen exito de los comicionados que salieron en solicitud de semillas"" 
30 July 1785: ""por el buen temporal y enfermedad""
12 December 1785: ""por la mucha enfermedad""
6 March 1786: to the Patron Saint ""por la enfermedad que habia en el lugar"" 
28 September 1786: to Our Lady of Loreto, ""Misa de Gracias por la Enfermedad que aun seguia y que continuasen las Aguas""
",267-416,"AGN (Mexico), Propios y Arbitrios, volume 21, expediente 3",Novenarios spread out during the dearth of 1785-86.,Amílcar,12,3,1785,"The records report expenses paid for prayers to different saints to alleviate scarce rains, scarcity or disease.",Challú
1843,2023-06-04 06:37:27,,"“Sarampión, continua peste: muertes y escasez de tributarios, alfombrilla.” Espinosa et al., 1987:108",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 18 part 1: item# 144",,Bradley,,,1733,Epidemia,Skopyk
3261,2023-06-04 06:37:27,,"“Una u otra helada que cayó por enero hizo daño a los trigos de suerte que no se levantó cuanto se esperaba. La estación de aguas ha sido la mejor y con este motivo se hallan en buena situación los demás sembrados.” AGI, Indiferente general, 1560",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 18 part 3: item# 254",,Bradley,,,1795,Cosechas escasas,Skopyk
