id,country,lat,loc_description,lon,municipality,site,state
584,Mexico,24.08717,,-110.31777,La Paz,Misiones,Baja California Sur
72,Mexico,25.44565615,,-100.84704979,Arteaga,San Francisco,Coahuila de Zaragoza
74,Mexico,26.87491474,,-100.60066355,Candela,Valladores,Coahuila de Zaragoza
62,Mexico,26.84161023,,-100.66322628,Candela,Candela,Coahuila de Zaragoza
65,Mexico,27.87778816,,-101.51484649,Múzquiz,Múzquiz,Coahuila de Zaragoza
417,Mexico,17.30516389,,-97.48859768,San Miguel Achiutla,Achiutla,Oaxaca
67,Mexico,25.56274483,,-101.40676909,General Cepeda,Patos (Hacienda),Coahuila de Zaragoza
71,Mexico,27.00420638,,-101.7245732,Sacramento,Sacramento (Santa María del),Coahuila de Zaragoza
15,Mexico,25.43370565,,-101.00038169,Saltillo,Saltillo,Coahuila de Zaragoza
69,Mexico,25.26121368,,-101.14023338,Saltillo,Pesca Grande,Coahuila de Zaragoza
66,Mexico,25.42009521,,-101.00036365,Saltillo,Nueva Tlaxcala (San Esteban de la),Coahuila de Zaragoza
13,Mexico,27.060035,,-101.5487339,San Buenaventura,Buenaventura (Villa de),Coahuila de Zaragoza
64,Mexico,26.90115032,,-101.41845774,Monclova,Monclova (Santiago de la),Coahuila de Zaragoza
598,Mexico,27.28297471,,-102.04510179,Ocampo,unspecified site,Coahuila de Zaragoza
14,Mexico,25.4406522,,-102.18291625,Parras,Parras (Santa María de las),Coahuila de Zaragoza
73,Mexico,25.58223997,,-101.86824039,Parras,Santa Rosa (Valle de),Coahuila de Zaragoza
70,Mexico,28.68021033,,-100.52856136,Piedras Negras,Río Grande (Presidio),Coahuila de Zaragoza
20,Mexico,19.24368366,,-103.7309949,Colima,Colima,Colima
19,Mexico,19.19784625,,-103.81154878,Coquimatlán,Motines,Colima
599,Mexico,19.14101487,,-103.91352573,Coquimatlán,unspecified site,Colima
18,Mexico,18.90896912,,-103.87488114,Tecomán,Epatlán,Colima
638,Mexico,17.03904613,,-92.70294906,El Bosque,Tierras Altas,Chiapas
52,Mexico,17.09434928,,-93.21072297,Copainalá,Copainalá,Chiapas
5,Mexico,16.7077439,,-93.01406534,Chiapa de Corzo,Chiapa,Chiapas
6,Mexico,17.1046685,,-92.27293888,Chilón,Chilón,Chiapas
3,Mexico,17.04106072,,-92.18821481,Chilón,Bachajón,Chiapas
53,Mexico,15.32026167,,-92.65847529,Escuintla,Escuintla,Chiapas
592,Mexico,16.31841,,-95.24783,Santo Domingo Tehuantepec,Tehuantepec,Oaxaca
319,Mexico,16.31606292,,-95.2354108,Santo Domingo Tehuantepec,Vacas (Hacienda),Oaxaca
9,Mexico,17.1724057,,-92.68542501,Huitiupán,Huitupán,Chiapas
467,Mexico,17.40821844,,-97.34665674,Santo Domingo Tlatayápam,Tlayacapa (Santo Domingo),Oaxaca
55,Mexico,16.90796882,,-92.09623691,Ocosingo,Ocosingo,Chiapas
331,Mexico,18.95512418,,-97.6577774,Quecholac,Quecholac,Puebla
8,Mexico,16.20414844,,-92.44628632,Socoltenango,Copanaguastla,Chiapas
630,Mexico,16.98399592,,-92.48254327,Pantelhó,unspecified site,Chiapas
57,Mexico,17.35826631,,-92.63905799,Sabanilla,Moyos (San Francisco de los),Chiapas
7,Mexico,16.73742509,,-92.63847258,San Cristóbal de las Casas,Ciudad Real (alias San Cristóbal de las Casas),Chiapas
54,Mexico,16.7549918,,-92.66272152,San Cristóbal de las Casas,Hueyzacatlán,Chiapas
449,Mexico,16.88324503,,-96.16051336,San Juan del Río,Río (San Juan del),Oaxaca
464,Mexico,17.46603339,,-97.35582429,San Pedro Topiltepec,Tiltepec (Santa María),Oaxaca
631,Mexico,17.09866729,,-93.39512958,Tecpatán,unspecified site,Chiapas
60,Mexico,17.13684708,,-93.31127433,Tecpatán,Tecpatlán,Chiapas
596,Mexico,16.48460858,,-92.47022531,Teopisca,unspecified site,Chiapas
10,Mexico,17.30100931,,-92.42569826,Tila,Tila,Chiapas
