start_year,state,site,summary,event_quote,lat,lon
1521,Distrito Federal,Mexico,Carestí­a,"“Luego de haber tomado los españoles la ciudad de México, se desarrolló mucha carestía y hambre, por falta de cultivos debido a la guerra.” AP, v. 788",19.43264649,-99.13325795
1521,Distrito Federal,Mexico,Escasez de alimentos,"“Los meses de guerra que antecedieron la caída de Tenochtitlán dislocaron la economía. A la tradicional incapacidad de autoabastecimiento de la ciudad se sumaron la destrucción de las chinampas, la apropiación de grandes territorios por parte de los españoles y el poco interés de éstos por la agricultura, lo cual redujo de manera considerable la superficie cultivada. La ciudad, la nueva ciudad erguida sobre las ruinas de un imperio, enfrentaba cara a cara a su fantasma, la falta de alimentos: el hambre.” Trueba, 1989, I:38-39",19.43264649,-99.13325795
1521,Tlaxcala,unspecified site,Epidemia de viruela,"“Hernán Cortés después de permanecer 20 días en Izúcar dio la vuelta por Tepeyacac, y los tlaxcaltecas se volvieron a su tierra, y habiendo estado algunos días en Tepeyacac, volvióse a Tlaxcalan, en donde halló a muchos de los señores y caballeros de aquella república muertos por la enfermedad de viruela que pegó el negro de Narváez (que ya habían cundido por toda la tierra), entre los cuales falleció su grande amigo Maxixcatzin: hizo por él grandísimo sentimiento y puso luto.” Ixtlixóchitl, 1975, II:238-239",19.42860564,-98.16841472
1522,Hidalgo,Tepeapulco,Epidemia,"“En su antigüedad, hubo grandísima cantidad de gentes y después que el marqués entró en esta tierra, a obra de un año, ha habido muchas pestilencias, por donde se ha disminuido de muchas gentes en mucha cantidad.” “RG Tepeapulco.” 1986, II, 7:172",19.78504986,-98.55224323
1523,Distrito Federal,Mexico,Creciente de lago,"“En 1523, crecieron tanto las aguas, que fue necesario hacer la calzada o sea el dique de San Lázaro.” Gemelli, 1976:81",19.43264649,-99.13325795
1523,Tlaxcala,Tlaxcala,Hunger,HUBO HAMBRE; mayanaloc netlayecoltiloto tepeyecac,19.31730126,-98.23890287
1523,Tlaxcala,unspecified site,Hambre,"“Entonces vinieron los sacerdotes. Hubo hambre, se fue a conseguir el sustento a Tepeyacac. Asimismo fue conquistado Xaloztoc. - Yquac hualaque teopixque mayanaloc netlayeocoltiloto Tepeyecac yhuan Xaloztoc poliohuac.” Zapata y Mendoza, 1995:135",19.42860564,-98.16841472
1524,Distrito Federal,Mexico,Escasez de agua,"“Comenzó a menguar (según se dice) el agua de esta laguna […] y han ido en grandísima disminución las aguas desde entonces […] que la que yo alcanzo y hallo que puede haber sido, es haberla desangrado de estos arroyos y ríos […] habiéndolas todos sacado de sus madres para regar con ellos muchas tierras que de presente se siembran de trigo y para otras cosas del servicio de hacienda; y ésta es la razón porque faltan sus aguas en tiempo de verano y secas.” Torquemada, 1975:422",19.43264649,-99.13325795
1525,Puebla,unspecified site,Epidemia de cocoliztli,"“En este año vino el señor obispo don Julián Garcés de Aragón, religioso de Santo Domingo. En este año llegó el gran cocoliztli que de nuevo se apareció […] muralla de nube hacia el cielo […] En este año destruyeron todo las ratas.” Anales de Puebla y Tlaxcala, núm. 2:369",18.54794342,-97.89651992
1525,Tlaxcala,unspecified site,Epidemia de cocoliztli,"“En este año vino el señor obispo don Julián Garcés de Aragón, religioso de Santo Domingo. En este año llegó el gran cocoliztli que de nuevo se apareció […] muralla de nube hacia el cielo […] En este año destruyeron todo las ratas.” Anales de Puebla y Tlaxcala, núm. 2:369",19.42860564,-98.16841472
1526,Tlaxcala,Tlaxcala,Wind,MOTLATLALO MIXPANTLI ITECH ILHUICATLI,19.31730126,-98.23890287
1528,Mï¿½xico,unspecified site,Lluvias excesivas,"“Lluvias considerables, campos de maíz arruinados.” Gibson, 1991:464; Sanders, 1970:36; Malvido, 1973:96; Espinosa et al., 1987:76",19.49828005,-99.04413125
